Title,Description,Priority,Size,Role,Milestone
APM: Communicate SSO rollout to external users (Wave 3),"Draft and publish external user notice about the login change. Explain what changes what stays the same and support contact. Coordinate with product/support team.",P0,M,APM,M7 — Wave 3 Apps Integrated
Disable local login form on Wave 1 app,"Remove or hide the local email/password login form on the Wave 1 app. SSO is now the only login path. Verify no local auth code path remains active.",P1,S,Fullstack,M8 — Local Auth Decommissioned
Remove password columns from Wave 1 app database,"Drop password_hash and related auth columns from the Wave 1 app's users table after confirming keycloak_id is populated for all users and SSO has been stable for 2+ weeks.",P1,S,Fullstack,M8 — Local Auth Decommissioned
Remove local auth dependencies from Wave 1 codebase,"Uninstall auth libraries (bcrypt passport etc) no longer needed. Remove middleware routes and config related to local auth. Clean up dead code.",P1,M,Fullstack,M8 — Local Auth Decommissioned
Repeat local auth decommission for all remaining apps,"Perform the same disable-remove-cleanup steps for all Wave 2 and Wave 3 apps. Work through apps one by one after each has been stable for at least 2 weeks.",P1,XL,Fullstack,M8 — Local Auth Decommissioned
APM: Confirm decommission completion across all apps,"Verify all apps have local auth disabled password columns removed and unused deps cleaned. Update project tracker. Mark M8 complete.",P1,S,APM,M8 — Local Auth Decommissioned
Monitor app store adoption rate for old mobile version,"Track percentage of active external users on the new mobile app version via app store analytics. Target: ≥90% before triggering hard cutoff.",P1,S,APM,M9 — Mobile Facade Sunset
Add in-app deprecation banner to old mobile app,"At month 3–4 ship an update to the old mobile app showing an in-app banner: Please update your app by [date]. Link to app store listing.",P1,M,Mobile,M9 — Mobile Facade Sunset
Enforce 410 Gone in auth facade for unsupported versions,"At month 6–9 (when adoption ≥90%) update MIN_SUPPORTED_VERSION in the facade to cut off old versions. Deploy. Confirm 410 response returned to old clients.",P0,S,Fullstack,M9 — Mobile Facade Sunset
Decommission auth facade service,"After cutoff is stable and no old clients are reaching the facade shut down the facade service. Remove the mobile-legacy-bridge client from Keycloak. Clean up related code.",P1,M,Fullstack,M9 — Mobile Facade Sunset
APM: Final mobile migration sign-off,"Confirm facade is decommissioned adoption is 100% on new app and no legacy auth paths remain. Update project documentation and close out the migration.",P1,XS,APM,M9 — Mobile Facade Sunset
Set up daily PostgreSQL backup via pg_dump,"Configure a cron job or scheduled task to run pg_dump keycloak daily. Store backup files off-server (S3 NAS or equivalent). Test restore procedure.",P0,S,Fullstack,M1 — Infrastructure Ready
Set up weekly realm JSON export,"Schedule a weekly reminder or script to export realm JSON from Keycloak Admin Console for both realms. Commit to git or store in secure backup location.",P1,XS,APM,M2 — Realm & Identity Configured
Configure uptime monitoring and alerts,"Set up uptime alerts on /health/live and /health/ready for both staging and production. Configure notification to the team on failure (email Slack etc).",P0,S,Fullstack,M1 — Infrastructure Ready
Enable and configure Keycloak event logging,"Enable Admin Events and Login Events in both realms (Realm Settings → Events). Set retention period. Confirm login failure events are captured.",P1,XS,Fullstack,M2 — Realm & Identity Configured
Enable 2FA on all Keycloak admin accounts,"Enforce 2FA for all accounts with admin access to the Keycloak master realm and realm-admin accounts. Verify OTP setup for each team member with admin access.",P0,XS,APM,M2 — Realm & Identity Configured
Create realm-admin user per realm for day-to-day ops,"Create a dedicated realm-admin user in both internal and external realms. Use these for daily operations. Reserve master realm admin credentials in password manager only for break-glass use.",P0,XS,Fullstack,M2 — Realm & Identity Configured
